Abmachung|NN	0.0040	Abmachungen
menschlich|ADJX	0.3324	menschlichst,menschlichstes,menschlichster,menschlichste,menschlichere,menschlicher,menschliches,menschlichem,menschlichen,menschlichsten,menschlicherer,menschlicheres,menschliche,menschlichstem,menschlicheren,menschlicherem
messbar|ADJX	0.0040
mild|ADJX	0.3303	milden,mildem,milde,mildste,mildstes,mildster,mildere,mildst,milderen,mildstem,mildsten,milderem,milderer,milderes,mildes,milder
miteinander|ADV	0.3697
mitfühlen|VVINF	0.0922	mitfühltest,mitgefühlt,mitfühlt,mitfühlet,mitfühlten,mitfühl,mitfühle,mitfühlest,mitfühltet,mitfühlst,mitfühlte
mitmenschlich|ADJX	0.0040	mitmenschlichere,mitmenschliches,mitmenschlichsten,mitmenschlichstem,mitmenschliche,mitmenschlicher,mitmenschlichste,mitmenschlichst,mitmenschlichstes,mitmenschlichster,mitmenschlichem,mitmenschlichen,mitmenschlicherem,mitmenschlicheren,mitmenschlicheres,mitmenschlicherer
mobil|ADJX	0.0040	mobilerer,mobilste,mobilsten,mobileres,mobilstem,mobilerem,mobilere,mobileren,mobilen,mobilem,mobiler,mobiles,mobilstes,mobilst,mobilster,mobile
mobilisieren|VVINF	0.0040	mobilisierst,mobilisierte,mobilisierest,mobilisierten,mobilisiertet,mobilisiertest,mobilisieret,mobilisiere,mobilisier,mobilisiert
modern|ADJX	0.2287	moderneren,modernerem,modernem,modernes,moderner,modernerer,modernen,moderne,moderneres,modernstes,modernste,modernst,modernster,modernstem,modernsten,modernere
modernisieren|VVINF	0.0040
mondän|ADJX	0.0040	mondänsten,mondäneren,mondänes,mondäneres,mondänste,mondänerer,mondänstem,mondänst,mondänerem,mondäne,mondänem,mondänen,mondänstes,mondänere,mondänster,mondäner
monumental|ADJX	0.0040	monumentalere,monumentalerem,monumentaleres,monumentalstem,monumentalerer,monumentaler,monumentalste,monumentaleren,monumentalem,monumentalsten,monumentalen,monumentalst,monumentalstes,monumentalster,monumentales,monumentale
moralisch|ADJX	0.0040	moralischstes,moralischster,moralischste,moralischere,moralischstem,moralischerem,moralischst,moralischsten,moralischeres,moralischerer,moralisches,moralischeren,moralischen,moralischem,moralische,moralischer
motivieren|VVINF	0.2248
motiviert|ADJX	0.3541	motiviertest,motivierteres,motiviertestes,motivierterem,motiviertester,motivierteren,motivierte,motiviertesten,motivierterer,motiviertestem,motiviertes,motivierter,motivierteste,motiviertere,motiviertem,motivierten
mustergültig|ADJX	0.0040	mustergültigem,mustergültigstem,mustergültigsten,mustergültigen,mustergültigste,mustergültigster,mustergültiges,mustergültiger,mustergültige,mustergültigstes,mustergültigerem,mustergültigeren,mustergültigst,mustergültigere,mustergültigerer,mustergültigeres
mutig|ADJX	0.3435	mutige,mutiges,mutigstem,mutigsten,mutigere,mutigster,mutigen,mutigstes,mutigem,mutigerer,mutigeres,mutigste,mutiger,mutigerem,mutigeren,mutigst
mächtig|ADJX	0.2277	mächtigste,mächtigstem,mächtigerem,mächtiger,mächtigere,mächtiges,mächtigeren,mächtigerer,mächtigeres,mächtigst,mächtigsten,mächtigem,mächtigen,mächtigster,mächtigstes,mächtige
mögen|VVINF	0.345
möglich|ADJX	0.0040	möglichsten,möglichem,möglichen,möglichere,möglichstem,möglichster,möglichste,möglichstes,möglicher,möglicherer,mögliches,möglicheres,möglichst,mögliche,möglicherem,möglicheren
mühelos|ADJX	0.0040	mühelosere,müheloserer,müheloseres,mühelosester,müheloseren,mühelosestem,mühelosesten,müheloserem,müheloser,müheloses,mühelosen,mühelosem,mühelose,müheloseste,mühelosest,mühelosestes
nachahmenswert|ADJX	0.0818	nachahmenswerteren,nachahmenswertest,nachahmenswertesten,nachahmenswerterem,nachahmenswertestem,nachahmenswertem,nachahmenswerterer,nachahmenswerten,nachahmenswerteres,nachahmenswertester,nachahmenswerte,nachahmenswertestes,nachahmenswerter,nachahmenswertere,nachahmenswertes,nachahmenswerteste
nachhaltig|ADJX	0.0040	nachhaltigstem,nachhaltigsten,nachhaltigstes,nachhaltigster,nachhaltigeren,nachhaltigere,nachhaltigerem,nachhaltige,nachhaltiges,nachhaltiger,nachhaltigen,nachhaltigem,nachhaltigerer,nachhaltigste,nachhaltigeres,nachhaltigst
nah|ADJX	0.2267	nahste,nahsten,naherem,naheren,nahstem,nahere,naher,naherer,nahes,nahen,nahem,naheres,nahstes,nahst,nahster,nahe
namhaft|ADJX	0.0040	namhaftest,namhaftesten,namhaftestem,namhafte,namhafteste,namhaftere,namhafteres,namhaftestes,namhafterer,namhaftester,namhafteren,namhaften,namhafterem,namhaftem,namhaftes,namhafter
nennenswert|ADJX	0.0040	nennenswerteres,nennenswerterer,nennenswerterem,nennenswertere,nennenswerteren,nennenswerte,nennenswertestem,nennenswertes,nennenswerter,nennenswertesten,nennenswerten,nennenswertestes,nennenswertester,nennenswertest,nennenswertem,nennenswerteste
nett|ADJX	0.1405	netteren,netterem,nette,netten,netteste,netter,nettes,nettere,nettestem,nettem,nettestes,nettester,nettesten,netterer,netteres,nettest
neu|ADJX	0.0040	neuem,neuen,neustem,neusten,neuer,neueste,neust,neustes,neuster,neues,neuerem,neue,neueren,neuest,neuester,neueres,neuste,neuestes,neuere,neuerer,neuesten,neuestem
niedlich|ADJX	0.0987	niedlicherer,niedlicheres,niedlichsten,niedlicherem,niedlicheren,niedlichstem,niedlichster,niedlichstes,niedlichste,niedliche,niedlicher,niedliches,niedlichen,niedlichem,niedlichere,niedlichst
nutzbringend|ADJX	0.0040	nutzbringenderes,nutzbringenderer,nutzbringendem,nutzbringenden,nutzbringendstem,nutzbringender,nutzbringendsten,nutzbringendst,nutzbringendstes,nutzbringendere,nutzbringendster,nutzbringendes,nutzbringendste,nutzbringenderem,nutzbringende,nutzbringenderen
nähren|VVINF	0.0040	nährtest,nährst,nährte,nähr,nähret,nährten,nährt,nähre,nährtet,nährest,genährt
nützen|VVINF	0.0040	nütztest,nütze,nützet,nützt,nützest,nütztet,nützten,nützte,nütz,genützt
nützlich|ADJX	0.2302	nützlicherem,nützlichste,nützlichere,nützlichem,nützlicheren,nützlichen,nützlichsten,nützlichster,nützlichstes,nützlichstem,nützlichst,nützlicher,nützlicheres,nützliche,nützlicherer,nützliches
offensichtlich|ADJX	0.0040	offensichtlichst,offensichtlichsten,offensichtlichste,offensichtlichstem,offensichtlicherer,offensichtlicheres,offensichtlichen,offensichtliche,offensichtlichem,offensichtlicherem,offensichtlicheren,offensichtlichere,offensichtlicher,offensichtliches,offensichtlichster,offensichtlichstes
optimal|ADJX	0.2162
optimistisch|ADJX	0.0040
ordentlich|ADJX	0.0073	ordentlichen,ordentlichem,ordentlicheren,ordentliches,ordentlicher,ordentlicherem,ordentlicheres,ordentlicherer,ordentlichste,ordentliche,ordentlichstes,ordentlichst,ordentlichster,ordentlichstem,ordentlichsten,ordentlichere
ordnungsgemäß|ADJX	0.0040	ordnungsgemäße,ordnungsgemäßes,ordnungsgemäßer,ordnungsgemäßem,ordnungsgemäßen,ordnungsgemäßsten,ordnungsgemäßstem,ordnungsgemäßster,ordnungsgemäßstes,ordnungsgemäßerer,ordnungsgemäßeres,ordnungsgemäßerem,ordnungsgemäßst,ordnungsgemäßere,ordnungsgemäßeren,ordnungsgemäßste
original|ADJX	0.0040
packend|ADJX	0.0040
paradiesisch|ADJX	0.2068	paradiesisches,paradiesischstem,paradiesischerem,paradiesischsten,paradiesischerer,paradiesischeres,paradiesischeren,paradiesische,paradiesischste,paradiesischster,paradiesischen,paradiesischstes,paradiesischem,paradiesischst,paradiesischer,paradiesischere
partnerschaftlich|ADJX	0.0040	partnerschaftlichste,partnerschaftlichem,partnerschaftlichen,partnerschaftlicheres,partnerschaftlichstes,partnerschaftlicherer,partnerschaftlicher,partnerschaftliches,partnerschaftlicherem,partnerschaftlicheren,partnerschaftliche,partnerschaftlichst,partnerschaftlichster,partnerschaftlichere,partnerschaftlichsten,partnerschaftlichstem
passend|ADJX	0.1201
perfekt|ADJX	0.7299	perfekterer,perfektest,perfekteren,perfektes,perfekter,perfekterem,perfektester,perfektestes,perfektem,perfekten,perfektesten,perfekteres,perfekteste,perfektestem,perfektere,perfekte
pflegen|VVINF	0.2325	pflegst,pflegten,pflegtest,pflegt,pflege,pflegte,pflegest,pfleget,pflegtet,pfleg,gepflegt
phantasievoll|ADJX	0.3064	phantasievollerem,phantasievoller,phantasievollere,phantasievollstem,phantasievolles,phantasievolleren,phantasievollstes,phantasievollster,phantasievollste,phantasievollsten,phantasievollst,phantasievollerer,phantasievolleres,phantasievolle,phantasievollen,phantasievollem
phantastisch|ADJX	0.565
phänomenal|ADJX	0.08	phänomenalen,phänomenalem,phänomenale,phänomenalster,phänomenalstes,phänomenalst,phänomenalste,phänomenaleres,phänomenalerer,phänomenalerem,phänomenaleren,phänomenales,phänomenalsten,phänomenalstem,phänomenaler,phänomenalere
planmäßig|ADJX	0.0040	planmäßigst,planmäßigerem,planmäßigstem,planmäßigsten,planmäßigeren,planmäßigste,planmäßigerer,planmäßigstes,planmäßigeres,planmäßigere,planmäßigster,planmäßige,planmäßigem,planmäßigen,planmäßiger,planmäßiges
planvoll|ADJX	0.0040	planvollstes,planvollster,planvoller,planvollerem,planvollen,planvollem,planvollste,planvolleren,planvolle,planvolleres,planvollst,planvollerer,planvollere,planvollstem,planvollsten,planvolles
plausibel|ADJX	0.0040	plausiblere,plausible,plausibelstem,plausibelsten,plausibelste,plausibler,plausibles,plausibelst,plausiblem,plausibelstes,plausiblen,plausiblerem,plausibelster,plausibleren,plausiblerer,plausibleres
pompös|ADJX	0.0040	pompöseste,pompösest,pompösesten,pompösestes,pompösester,pompösem,pompösere,pompöseres,pompösestem,pompöse,pompöserer,pompöseren,pompöses,pompöser,pompöserem,pompösen
populär|ADJX	0.0040
positiv|ADJX	0.0040
potent|ADJX	0.0864	potenteres,potenterer,potenteste,potentere,potentem,potenten,potentester,potentest,potentestes,potente,potentes,potentesten,potenter,potentestem,potenteren,potenterem
prachtvoll|ADJX	0.0040	prachtvollstes,prachtvollst,prachtvolles,prachtvoller,prachtvollem,prachtvollen,prachtvolle,prachtvollere,prachtvollstem,prachtvollsten,prachtvolleres,prachtvollerer,prachtvollste,prachtvollster,prachtvollerem,prachtvolleren
praktikabel|ADJX	0.0744	praktikable,praktikabler,praktikables,praktikableres,praktikablerer,praktikablen,praktikablem,praktikableren,praktikablerem,praktikabelste,praktikabelstem,praktikablere,praktikabelsten,praktikabelst,praktikabelstes,praktikabelster
praktisch|ADJX	0.1026
prall|ADJX	0.09	prallstem,prallsten,prallere,prallster,prallstes,prallem,pralleren,prallerem,prallst,prallerer,praller,pralleres,pralles,pralle,prallste,prallen
preisgünstig|ADJX	0.0040	preisgünstigen,preisgünstige,preisgünstigem,preisgünstigst,preisgünstigste,preisgünstiger,preisgünstigere,preisgünstiges,preisgünstigerer,preisgünstigeres,preisgünstigsten,preisgünstigeren,preisgünstigerem,preisgünstigstem,preisgünstigster,preisgünstigstes
prima|ADJX	0.5766
privilegiert|VVINF	0.0040	privilegiertere,privilegierte,privilegiertes,privilegiertestem,privilegiertesten,privilegiertester,privilegierter,privilegierteren,privilegiertest,privilegiertestes,privilegierten,privilegierterer,privilegiertem,privilegierteres,privilegierteste,privilegierterem
problemlos|ADJX	0.0040	problemlose,problemloser,problemloses,problemlosem,problemlosen,problemlosst,problemlosstes,problemlosere,problemlossten,problemloseren,problemloserem,problemlosstem,problemlosster,problemlosste,problemloseres,problemloserer
produktiv|ADJX	0.0040	produktiveren,produktivster,produktiverem,produktivstes,produktiven,produktiver,produktiveres,produktivem,produktiverer,produktivere,produktives,produktivst,produktive,produktivste,produktivsten,produktivstem
professionell|ADJX	0.467
profiliert|VVINF	0.0040	profiliertes,profilierter,profilierterem,profiliertest,profiliertem,profilierten,profilierteres,profilierterer,profiliertere,profiliertesten,profilierte,profilierteren,profiliertestem,profiliertestes,profiliertester,profilierteste
profitabel|ADJX	0.0040	profitablere,profitabelste,profitabelstes,profitablerer,profitabelster,profitableres,profitable,profitablen,profitabelsten,profitabelstem,profitabler,profitables,profitablem,profitabelst,profitableren,profitablerem
profitieren|VVINF	0.0040
progressiv|ADJX	0.0040
prominent|ADJX	0.0040	prominentem,prominenten,prominente,prominentere,prominenteste,prominenteres,prominenterer,prominenteren,prominentestem,prominentesten,prominentestes,prominentester,prominenterem,prominentes,prominenter,prominentest
protzig|ADJX	0.0040	protzigst,protzige,protzigem,protzigsten,protzigen,protzigstem,protzigste,protzigster,protziges,protziger,protzigstes,protzigeren,protzigerem,protzigerer,protzigeres,protzigere
prunkvoll|ADJX	0.0040	prunkvolles,prunkvollster,prunkvoller,prunkvollst,prunkvollstem,prunkvollsten,prunkvollen,prunkvollem,prunkvollste,prunkvolle,prunkvollerer,prunkvollstes,prunkvollere,prunkvolleres,prunkvollerem,prunkvolleren
prächtig|ADJX	0.335	prächtigst,prächtigem,prächtigste,prächtigen,prächtiger,prächtiges,prächtigerem,prächtigstem,prächtigsten,prächtigeren,prächtige,prächtigerer,prächtigeres,prächtigere,prächtigster,prächtigstes
präzis|ADJX	0.0040
präzise|ADJX	0.0040
puppig|ADJX	0.0040	puppigen,puppigem,puppigster,puppigstes,puppigere,puppigeren,puppigstem,puppigsten,puppigerem,puppigerer,puppigeres,puppige,puppigste,puppigst,puppiges,puppiger
pünktlich|ADJX	0.086	pünktlichste,pünktlichsten,pünktlicheres,pünktlichstem,pünktlichem,pünktlichen,pünktlichere,pünktliche,pünktlichst,pünktlicher,pünktlicheren,pünktlichstes,pünktlicherem,pünktliches,pünktlichster,pünktlicherer
qualifizieren|VVINF	0.0040	qualifizier,qualifizierte,qualifiziere,qualifiziertet,qualifiziert,qualifiziertest,qualifizierest,qualifizieret,qualifizierten,qualifizierst
qualifiziert|ADJX	0.0040	qualifiziertest,qualifizierte,qualifizierteres,qualifiziertester,qualifizierterer,qualifizierteste,qualifiziertestes,qualifizierter,qualifiziertere,qualifizierteren,qualifizierterem,qualifiziertes,qualifiziertestem,qualifizierten,qualifiziertem,qualifiziertesten
qualitativ|ADJX	0.0040	qualitativsten,qualitativeren,qualitativst,qualitativere,qualitativerer,qualitativstem,qualitativeres,qualitativstes,qualitativster,qualitativste,qualitative,qualitativen,qualitativem,qualitativer,qualitatives,qualitativerem
qualitätsvoll|ADJX	0.0040
quicklebendig|ADJX	0.0040	quicklebendigerem,quicklebendigeren,quicklebendigstem,quicklebendigsten,quicklebendigerer,quicklebendigster,quicklebendige,quicklebendigeres,quicklebendigstes,quicklebendigste,quicklebendigem,quicklebendigen,quicklebendigst,quicklebendiges,quicklebendiger,quicklebendigere
raffiniert|VVINF	0.0040	raffinierter,raffinierten,raffiniertem,raffiniertere,raffiniertest,raffiniertester,raffiniertesten,raffiniertestem,raffiniertestes,raffinierterem,raffinierteren,raffinierte,raffinierterer,raffiniertes,raffinierteres,raffinierteste
rational|ADJX	0.0040
realistisch|ADJX	0.2089
rechtfertigen|VVINF	0.0040	rechtfertigt,rechtfertiget,rechtfertige,rechtfertigte,rechtfertigten,gerechtfertigt,rechtfertigst,rechtfertigest,rechtfertigtest,rechtfertig,rechtfertigtet
rechtlich|ADJX	0.0040	rechtliches,rechtlichsten,rechtlicher,rechtlichstes,rechtlichster,rechtlichem,rechtlichen,rechtlichst,rechtlichstem,rechtlichste,rechtlicherem,rechtlicheren,rechtlicherer,rechtliche,rechtlicheres,rechtlichere
rechtmäßig|ADJX	0.0040	rechtmäßigem,rechtmäßigen,rechtmäßiger,rechtmäßiges,rechtmäßigerer,rechtmäßigeres,rechtmäßigeren,rechtmäßigere,rechtmäßigstes,rechtmäßigst,rechtmäßigster,rechtmäßigerem,rechtmäßige,rechtmäßigstem,rechtmäßigsten,rechtmäßigste
rechtsgültig|ADJX	0.0040	rechtsgültigem,rechtsgültigerem,rechtsgültigen,rechtsgültigstem,rechtsgültige,rechtsgültiger,rechtsgültigsten,rechtsgültigst,rechtsgültigeres,rechtsgültigerer,rechtsgültigste,rechtsgültigeren,rechtsgültigster,rechtsgültigstes,rechtsgültigere,rechtsgültiges
rehabilitieren|VVINF	0.0040	rehabilitiertet,rehabilitiere,rehabilitier,rehabilitiert,rehabilitierest,rehabilitiertest,rehabilitierst,rehabilitierten,rehabilitieret,rehabilitierte
reibungslos|ADJX	0.1965	reibungslosem,reibungslosesten,reibungslosester,reibungslosestes,reibungslose,reibungslosere,reibungsloseste,reibungsloses,reibungsloser,reibungslosen,reibungsloseren,reibungsloserem,reibungslosest,reibungsloserer,reibungslosestem,reibungsloseres
reich|ADJX	0.1247
reichhaltig|ADJX	0.209	reichhaltigeren,reichhaltiger,reichhaltigem,reichhaltigerer,reichhaltigen,reichhaltigeres,reichhaltigst,reichhaltiges,reichhaltige,reichhaltigster,reichhaltigstes,reichhaltigste,reichhaltigere,reichhaltigstem,reichhaltigerem,reichhaltigsten
reichlich|ADV	0.3617	reichlicheres,reichlichstes,reichlichere,reichlichster,reichlichsten,reichlichstem,reichlicheren,reichlicherem,reichlicherer,reichlichen,reichlichst,reichliche,reichlichem,reichlichste,reichlicher,reichliches
reif|ADJX	0.0807	reiferen,reife,reiferem,reifem,reifen,reiferes,reifer,reiferer,reifes,reifste,reifst,reifere,reifster,reifstes,reifsten,reifstem
reifen|VVINF	0.0886	reift,reifst,reife,reiften,reif,gereift,reiftest,reiftet,reifte,reifest,reifet
rein|ADJX	0.0040	reinerem,reinere,reineren,reinstes,reinster,reinste,reinstem,reinsten,reinen,reinem,reiner,reinst,reine,reines,reineres,reinerer
reinigen|VVINF	0.0040	reinigtet,reinigtest,reinigt,reinige,reinigest,reinig,gereinigt,reinigten,reinigst,reiniget,reinigte
reizend|ADJX	0.0787	reizendste,reizenderer,reizenderes,reizendem,reizendere,reizender,reizendes,reizenden,reizende,reizenderem,reizendster,reizenderen,reizendstes,reizendst,reizendstem,reizendsten
reizvoll|ADJX	0.0040	reizvolles,reizvollste,reizvoller,reizvollen,reizvollst,reizvollem,reizvolleres,reizvolle,reizvollstes,reizvollster,reizvollsten,reizvollstem,reizvollerem,reizvolleren,reizvollere,reizvollerer
relevant|ADJX	0.0040	relevanten,relevantere,relevantem,relevantes,relevanter,relevanterer,relevantest,relevanterem,relevanteren,relevante,relevanteste,relevantestes,relevantester,relevantestem,relevanteres,relevantesten
renommiert|VVINF	0.0040	renommierter,renommiertere,renommiertestes,renommierten,renommiertem,renommiertester,renommiertest,renommierteste,renommierterem,renommierte,renommierteren,renommiertesten,renommiertes,renommiertestem,renommierteres,renommierterer
